tree,type,order,n,run,comparisons
bst,ordered,-,10000,0,10000
bst,ordered,-,10000,1,10000
bst,ordered,-,10000,2,10000
bst,ordered,-,10000,3,10000
bst,ordered,-,10000,4,10000
bst,ordered,-,10000,5,10000
bst,ordered,-,10000,6,10000
bst,ordered,-,10000,7,10000
bst,ordered,-,10000,8,10000
bst,ordered,-,10000,9,10000
bst,random,-,10000,0,14
bst,random,-,10000,1,5
bst,random,-,10000,2,11
bst,random,-,10000,3,12
bst,random,-,10000,4,8
bst,random,-,10000,5,10
bst,random,-,10000,6,8
bst,random,-,10000,7,11
bst,random,-,10000,8,8
bst,random,-,10000,9,11
bst,ordered,-,20000,0,20000
bst,ordered,-,20000,1,20000
bst,ordered,-,20000,2,20000
bst,ordered,-,20000,3,20000
bst,ordered,-,20000,4,20000
bst,ordered,-,20000,5,20000
bst,ordered,-,20000,6,20000
bst,ordered,-,20000,7,20000
bst,ordered,-,20000,8,20000
bst,ordered,-,20000,9,20000
bst,random,-,20000,0,7
bst,random,-,20000,1,13
bst,random,-,20000,2,9
bst,random,-,20000,3,8
bst,random,-,20000,4,14
bst,random,-,20000,5,13
bst,random,-,20000,6,11
bst,random,-,20000,7,13
bst,random,-,20000,8,6
bst,random,-,20000,9,13
bst,ordered,-,30000,0,30000
bst,ordered,-,30000,1,30000
bst,ordered,-,30000,2,30000
bst,ordered,-,30000,3,30000
bst,ordered,-,30000,4,30000
bst,ordered,-,30000,5,30000
bst,ordered,-,30000,6,30000
bst,ordered,-,30000,7,30000
bst,ordered,-,30000,8,30000
bst,ordered,-,30000,9,30000
bst,random,-,30000,0,11
bst,random,-,30000,1,14
bst,random,-,30000,2,9
bst,random,-,30000,3,10
bst,random,-,30000,4,9
bst,random,-,30000,5,11
bst,random,-,30000,6,14
bst,random,-,30000,7,6
bst,random,-,30000,8,8
bst,random,-,30000,9,11
bst,ordered,-,40000,0,40000
bst,ordered,-,40000,1,40000
bst,ordered,-,40000,2,40000
bst,ordered,-,40000,3,40000
bst,ordered,-,40000,4,40000
bst,ordered,-,40000,5,40000
bst,ordered,-,40000,6,40000
bst,ordered,-,40000,7,40000
bst,ordered,-,40000,8,40000
bst,ordered,-,40000,9,40000
bst,random,-,40000,0,10
bst,random,-,40000,1,10
bst,random,-,40000,2,11
bst,random,-,40000,3,13
bst,random,-,40000,4,11
bst,random,-,40000,5,13
bst,random,-,40000,6,7
bst,random,-,40000,7,13
bst,random,-,40000,8,9
bst,random,-,40000,9,9
bst,ordered,-,50000,0,50000
bst,ordered,-,50000,1,50000
bst,ordered,-,50000,2,50000
bst,ordered,-,50000,3,50000
bst,ordered,-,50000,4,50000
bst,ordered,-,50000,5,50000
bst,ordered,-,50000,6,50000
bst,ordered,-,50000,7,50000
bst,ordered,-,50000,8,50000
bst,ordered,-,50000,9,50000
bst,random,-,50000,0,14
bst,random,-,50000,1,11
bst,random,-,50000,2,11
bst,random,-,50000,3,12
bst,random,-,50000,4,11
bst,random,-,50000,5,16
bst,random,-,50000,6,13
bst,random,-,50000,7,8
bst,random,-,50000,8,9
bst,random,-,50000,9,11
bst,ordered,-,60000,0,60000
bst,ordered,-,60000,1,60000
bst,ordered,-,60000,2,60000
bst,ordered,-,60000,3,60000
bst,ordered,-,60000,4,60000
bst,ordered,-,60000,5,60000
bst,ordered,-,60000,6,60000
bst,ordered,-,60000,7,60000
bst,ordered,-,60000,8,60000
bst,ordered,-,60000,9,60000
bst,random,-,60000,0,12
bst,random,-,60000,1,7
bst,random,-,60000,2,13
bst,random,-,60000,3,15
bst,random,-,60000,4,10
bst,random,-,60000,5,12
bst,random,-,60000,6,5
bst,random,-,60000,7,8
bst,random,-,60000,8,15
bst,random,-,60000,9,13
bst,ordered,-,70000,0,70000
bst,ordered,-,70000,1,70000
bst,ordered,-,70000,2,70000
bst,ordered,-,70000,3,70000
bst,ordered,-,70000,4,70000
bst,ordered,-,70000,5,70000
bst,ordered,-,70000,6,70000
bst,ordered,-,70000,7,70000
bst,ordered,-,70000,8,70000
bst,ordered,-,70000,9,70000
bst,random,-,70000,0,12
bst,random,-,70000,1,10
bst,random,-,70000,2,19
bst,random,-,70000,3,11
bst,random,-,70000,4,16
bst,random,-,70000,5,9
bst,random,-,70000,6,10
bst,random,-,70000,7,8
bst,random,-,70000,8,10
bst,random,-,70000,9,12
bst,ordered,-,80000,0,80000
bst,ordered,-,80000,1,80000
bst,ordered,-,80000,2,80000
bst,ordered,-,80000,3,80000
bst,ordered,-,80000,4,80000
bst,ordered,-,80000,5,80000
bst,ordered,-,80000,6,80000
bst,ordered,-,80000,7,80000
bst,ordered,-,80000,8,80000
bst,ordered,-,80000,9,80000
bst,random,-,80000,0,10
bst,random,-,80000,1,13
bst,random,-,80000,2,13
bst,random,-,80000,3,15
bst,random,-,80000,4,7
bst,random,-,80000,5,17
bst,random,-,80000,6,8
bst,random,-,80000,7,13
bst,random,-,80000,8,13
bst,random,-,80000,9,15
bst,ordered,-,90000,0,90000
bst,ordered,-,90000,1,90000
bst,ordered,-,90000,2,90000
bst,ordered,-,90000,3,90000
bst,ordered,-,90000,4,90000
bst,ordered,-,90000,5,90000
bst,ordered,-,90000,6,90000
bst,ordered,-,90000,7,90000
bst,ordered,-,90000,8,90000
bst,ordered,-,90000,9,90000
bst,random,-,90000,0,15
bst,random,-,90000,1,11
bst,random,-,90000,2,14
bst,random,-,90000,3,17
bst,random,-,90000,4,17
bst,random,-,90000,5,10
bst,random,-,90000,6,12
bst,random,-,90000,7,7
bst,random,-,90000,8,17
bst,random,-,90000,9,14
bst,ordered,-,100000,0,100000
bst,ordered,-,100000,1,100000
bst,ordered,-,100000,2,100000
bst,ordered,-,100000,3,100000
bst,ordered,-,100000,4,100000
bst,ordered,-,100000,5,100000
bst,ordered,-,100000,6,100000
bst,ordered,-,100000,7,100000
bst,ordered,-,100000,8,100000
bst,ordered,-,100000,9,100000
bst,random,-,100000,0,12
bst,random,-,100000,1,10
bst,random,-,100000,2,13
bst,random,-,100000,3,13
bst,random,-,100000,4,13
bst,random,-,100000,5,11
bst,random,-,100000,6,18
bst,random,-,100000,7,13
bst,random,-,100000,8,12
bst,random,-,100000,9,10
